rating,roaster,title,blind_assessment,notes,bottom_line,roaster_location,coffee_origin,roast_level,est_price,review_date,aroma,acidity,body,flavor,aftertaste,url,with_milk,agtron_external,agtron_ground,is_espresso,quantity_value,quantity_unit,price_value,price_currency,price_usd,cpi,date,price_usd_adj,quantity_in_lbs,price_usd_adj_per_lb
90.0,The Roasterie,Super Tuscan Espresso,"Superbly and naturally sweet espresso. Complex in the aroma: caramel, milk chocolate, hints of nuts, flowers, pear-toned fruit. In the small cup medium-bodied but very smooth, gently pungent, with semi-sweet chocolate and a hint of smoke. Very sweet finish, long and cleanly rich. Fills out milk nicely with plump semi-sweet chocolate and a continued slight smoky, pungent edge.","The Roasterie is a leading, quality-oriented specialty roaster that specializes in building ongoing relationships with growers and that emphasizes its commitment to ""air roasting,"" a technology utilizing a column of hot air rather than the conventional turning drum to agitate the roasting beans. Visit www.theroasterie.com or call 800-376-0245 for more information.",,"Kansas City, Missouri",Not disclosed.,Medium-Dark,,2006-10-01,8.0,,8.0,8.0,8.0,https://www.coffeereview.com/review/super-tuscan-espresso/,8,45.0,53.0,True,,,,,,201.8,2006-10-01,,,
93.0,Red Rooster Coffee Roaster,Flight Seasonal Espresso,"Evaluated as espresso. Bright, chocolaty, floral-toned. Grapefruit, dark chocolate, hazelnut butter, lavender, fresh-cut cedar in aroma and small cup. Lively, full, velvety mouthfeel; tart, aromatic wood-framed finish. Dark chocolate notes are enlivened in three parts milk, with intimations of lavender-like flowers throughout.","A blend of two Las Lajas Micromill coffees from Costa Rica, a black honey-processed and a natural-processed. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A compelling dried-in-the-fruit Central America espresso, particularly attractive in milk.","Floyd, Virginia","Sabanilla de Alajuela growing region, Costa Rica",Medium-Light,$14.49/12 ounces,2017-02-01,9.0,,9.0,9.0,7.0,https://www.coffeereview.com/review/flight-seasonal-espresso-2/,9,56.0,76.0,True,12.0,ounces,14.49,USD,14.49,243.603,2017-02-01,18.69,0.75,24.92
91.0,Modern Times,Colombia Nariño Fiesta Natural,"Complex, sweetly rich. Blueberry, redwood, grapefruit blossom, roasted cacao nib, faint jasmine in aroma and cup. Tartly sweet, juicy acidity; buoyant, satiny mouthfeel. Blueberry and hazelnut carry the dry though flavor-saturated finish.","From an admired growing region in the southernmost Colombia Department of Nariño. Virtually all Colombias are wet-processed, but this is an atypical dry-processed or “natural” Colombia, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Modern Times is a well-loved, exuberantly inventive Point Loma, San Diego brewery that has long specialized in coffee-beer crossovers and overlaps. Visit www.moderntimescoffee.com for more information.","A complex, deeply sweet coffee, nut- and fruit-toned.","San Diego, California","Nariño Department, southern Colombia",Medium-Light,$16.00/12 ounces,2016-05-01,9.0,8.0,8.0,9.0,7.0,https://www.coffeereview.com/review/colombia-narino-fiesta-natural/,,54.0,82.0,False,12.0,ounces,16.0,USD,16.0,240.229,2016-05-01,20.93,0.75,27.91
94.0,White Rhino Coffee,Colombia Luna Azul,"Richly fruit-forward, deeply aromatic. Ripe blueberry, tangerine, dark chocolate, cedar, magnolia in aroma and cup. Gently bright acidity; plush, creamy mouthfeel. Blueberry-driven finish supported by dark chocolate and cedar.","Produced by Álvaro Andrés Cardona Molina and processed by the black honey method, in which much of the fruit flesh is left on the beans during the drying process. Founded in 2007 and named after the white rhino, which is both rare and social, White Rhino Coffee is based in Dallas, Texas and currently has nine coffee shops in addition to its roastery. Visit whiterhinocoffee.com for more information.","A confidently fruity, richly chocolaty Colombia black honey complicated by sweet citrus and florals and pungent aromatic wood.","Dallas, Texas","Antioquia, Colombia",Light,$25.00/12 ounces,2024-05-01,9.0,9.0,9.0,9.0,8.0,https://www.coffeereview.com/review/colombia-luna-azul-2/,,66.0,88.0,False,12.0,ounces,25.0,USD,25.0,314.069,2024-05-01,25.01,0.75,33.35
91.0,Temple Coffee and Tea,Colombia Camilio Torres,"Rich, round, deep. Roasted nut, dusk flowers, cocoaish dark chocolate, melon-like fruit with a hint of citrus in aroma and cup. Wine-toned acidity; silky mouthfeel. The dry chocolate and melon suggestions carry into a long, resonant finish.","Produced by members of the Camilio Torres cooperative, near the village of El Parasio, in the Huila coffee growing region. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-601-5363 for more information.",,"Sacramento, California","Huila Department, Colombia",Medium-Light,$14.50/12 ounces,2011-05-01,8.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/colombia-camilio-torres/,,56.0,69.0,False,12.0,ounces,14.5,USD,14.5,225.964,2011-05-01,20.16,0.75,26.88
88.0,CC's Coffee,Colombia Dark Roast Decaf,"Wonderfully robust balance of sweet, roasty, and roundly acidy tones, with sweetness in the ascendancy. Some fruity complication, but the main appeal is pure, classic Latin-America coffee expression. The dark roast rounds and sweetens the acidity but leaves little bitterness behind.","This very characteristic Colombia was decaffeinated by the conventional or direct solvent method. CC's Coffee is the upscale specialty line of Community Coffee, a distinguished family-owned coffee company founded in 1919. Visit www.cc-coffee.com or call 800-800-535-9149 for more info.",,"Baton Rouge, Louisiana",,Medium-Dark,,2002-07-01,7.0,7.0,7.0,7.0,,https://www.coffeereview.com/review/colombia-dark-roast-decaf/,,40.0,46.0,False,,,,,,180.1,2002-07-01,,,
94.0,Dragonfly Coffee Roasters,Kenya Ndaroini AA,"Complex, deeply and richly sweet. Dried coconut, dark chocolate, cherry blossom, tamarind, molasses in aroma and cup. Juicy, balanced, sweetly savory acidity; delicate, velvety mouthfeel. The resonant finish is deeply layered, leading with notes of cherry blossom and molasses in the short, followed by tart tamarind-like fruit notes, rounding to dark chocolate and a hint of coconut in the long.","Produced from trees of the admired SL28 and SL34 varieties of Arabica. Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Dragonfly Coffee is a Boulder, Colorado-based micro-roaster that produces high-quality coffees and supports worthy causes. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.","A particularly deep-toned version of Kenya’s characteristic style of sweet-tart fruit and lively, bright acidity.","Boulder, Colorado","Nyeri growing region, south-central Kenya",Medium-Light,$20.00/12 ounces,2017-06-01,9.0,9.0,8.0,9.0,9.0,https://www.coffeereview.com/review/kenya-ndaroini-aa/,,54.0,76.0,False,12.0,ounces,20.0,USD,20.0,244.955,2017-06-01,25.65,0.75,34.2
94.0,Evie's Cafe,Colombia La Gallera Estate,"Gently bright, richly floral. Raspberry, dark chocolate, macadamia nut, star jasmine, maple syrup in aroma and cup. Sweet-tart-savory structure with straightforward acidity; plush, velvety-smooth mouthfeel. Quietly juicy, round finish with notes of raspberry and dark chocolate.","Produced by Jose Juaquin of La Gallera Estate from trees of the admired Bourbon and Sidra varieties of Arabica and processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Evie’s Café, based in Chia-Yi Taiwan, specializes in fine roasted coffees as well as pour-overs and cold-brews. Visit https://m.facebook.com/eviescafe88/ for more information.",A honey-processed Colombia with the vibrant sweetness and elegant balance we might expect from a coffee composed of the distinguished Sidra and Bourbon varieties.,"Chia-Yi, Taiwan","Tolima Department, Colombia",Light,NT $620/8 ounces,2021-02-01,9.0,9.0,9.0,9.0,8.0,https://www.coffeereview.com/review/colombia-la-gallera-estate/,,64.0,84.0,False,8.0,ounces,620.0,TWD,22.18,263.014,2021-02-01,26.49,0.5,52.98
96.0,modcup coffee,Wilton Benitez Colombia Sidra,"Elegantly floral, vibrantly fruit-forward. Wisteria, bergamot, frankincense, mangosteen, black cherry in aroma and cup. Juicy, high-toned acidity; plush, creamy mouthfeel. Long, lingering, flavor-saturated finish.","This exceptional coffee was selected as the No. 4 coffee on Coffee Review’s list of the Top 30 Coffees of 2023. Produced by Wilton Benitez of Granja Paraiso 92, entirely of the Sidra variety of Arabica, and processed by the double-anaerobic thermal shock method, in which the coffee fruit, after having been first sanitized with ozone, undergoes two stages of fermentation. First, the whole cherries are submerged under water for 48 hours, then the beans are pulped and fermented with a strain of Lactobacillus for 24 hours. After fermentation, the beans are given a “thermal shock” using hot and cold rinses to help the beans absorb the fermentation metabolites and halt any further fermentation. Afterward, the washed parchment coffee is rapidly dried with an in-house designed Eco-Enigma dehumidifying dryer to avoid over-oxidation or continued fermentation. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.","An intensely aromatic, richly floral, complexly fruit-driven Colombia Sidra processed by a proprietary double-anaerobic thermal shock method.","Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",Light,$60.00/250 grams,2023-11-01,9.0,9.0,9.0,10.0,9.0,https://www.coffeereview.com/review/wilton-benitez-colombia-sidra/,,65.0,83.0,False,250.0,grams,60.0,USD,60.0,307.051,2023-11-01,61.39,0.55,111.62
85.0,French Market,Coffee and Chicory,"(Pre-ground coffee and roasted chicory root) Strong chicory character in the aroma (woody, peppery prune). In the cup quite sweet, with continued, rather complex chicory influence: peppery prune, aromatic wood, hints of flowers and lemon. The fruit character is particularly pronounced in the tingly and perhaps cloyingly sweet finish.","The roasted and ground root of the chicory plant has been used as a coffee substitute and additive since at least napoleonic times, when a British blockade prevented imports of coffee into French-controlled Europe and chicory was popularized as a substitute. Unlike many other grain-based coffee substitutes, chicory, with its syrupy body, prune-toned fruit and peppery mouthfeel, established a cultural niche based on its own sensory merits. French Market is by far the most widely distributed North American chicory and coffee blend. Its familiar red and blue cans have maintained a place on grocery shelves for decades. Visit www.frenchmarketcoffee.com or call 800-554-7234 for more information.",,"New Orleans, Louisiana",Not disclosed.,Very Dark,,2006-09-01,7.0,7.0,8.0,7.0,6.0,https://www.coffeereview.com/review/coffee-and-chicory/,,0.0,56.0,False,,,,,,202.9,2006-09-01,,,
87.0,Apres Coffee,Melange Francais,"Crisply roasty in the aroma: gently scorched cedar, cardamom, with a softening hint of semi-sweet chocolate. In the cup lean but silky mouthfeel and a simple but properly robust impression of scorched cedar, spicy nut and a suggestion of dark chocolate. Finishes on the impressively rich side of astringent with good flavor persistence.","Melange Francais translates as French blend, apparently referencing the extreme dark-roasted coffees of northern France. Apres is a seller of gourmet teas, coffee and chocolate presented in impressively distinctive packaging at reasonable prices. Visit www.aprescafe.com or call 877-777-3451 for more information. Visit www.aprescafe.com or call 877-777-3451 for more information.",,"Lancaster, Pennsylvania",Not disclosed.,Very Dark,,2007-11-01,7.0,,7.0,7.0,8.0,https://www.coffeereview.com/review/melange-francais/,,18.0,24.0,False,,,,,,210.177,2007-11-01,,,
93.0,JBC Coffee Roasters,La Joya Ecuador,"Brightly sweet, gently herbaceous. Lemongrass, praline, tangerine, oak, agave syrup in aroma and cup. Sweet-tart structure with vibrant acidity; silky-smooth mouthfeel. The crisply sweet finish consolidates to lemongrass and agave syrup.","Produced by Santiago Crespo, from trees of the Caturra, Typica, Bourbon and Pacas varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information",An invitingly herbaceous Ecuador cup with distinct notes of lemongrass and sweet ballast from praline and citrus.,"Madison, Wisconsin","Gonzanama, Loja Province, Ecuador",Light,$25.00/12 ounces,2023-03-01,9.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/la-joya-ecuador/,,61.0,83.0,False,12.0,ounces,25.0,USD,25.0,301.836,2023-03-01,26.02,0.75,34.69
87.0,El Gran Cafe,El Pintado Classico,"Delicate, crisply sweet. Pistachio, fir, lime zest, freesia, brown sugar in aroma and cup. Sweet-toned structure with gentle acidity; velvety mouthfeel. The finish consolidates to notes of fir and lime zest.","Produced at Finca El Pintado from trees of the Bourbon and Geisha varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Certified USDA organic. El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.","A friendly blend of Bourbon and Geisha varieties from Guatemala that nets an accessible, familiar cup.","Antigua, Guatemala","Antigua, Guatemala",Light,$16.50/12 ounces,2021-12-01,8.0,7.0,7.0,8.0,7.0,https://www.coffeereview.com/review/el-pintado-classico/,,65.0,79.0,False,12.0,ounces,16.5,USD,16.5,278.802,2021-12-01,18.59,0.75,24.79
91.0,Downtown Coffee,100% Kona Fancy,"Quietly deep, pungent. Dark chocolate, plum, night-blooming flowers, oak, a hint of musk in aroma and cup. Soft, gently tart acidity; impressively syrupy, vibrant mouthfeel. Flavor fades a bit in a continued rich but oaky finish.","Downtown Coffee is a small-batch roaster located in Honolulu, Hawaii, that offers a wide variety of Hawaii-grown coffees. We found this 100% Kona by far the best of the six Downtown Coffee offerings we tested in 2014. Visit www.dtcoffee.com or call 808-599-5353 for more information.",,"Honolulu, Hawaii","Kona growing region, “Big Island” of Hawaii.",Medium,$27.40/7 ounces,2014-08-01,8.0,8.0,9.0,9.0,7.0,https://www.coffeereview.com/review/100-kona-fancy/,,50.0,69.0,False,7.0,ounces,27.4,USD,27.4,237.852,2014-08-01,36.19,0.44,82.25
87.0,Starbucks Coffee,Rwanda Blue Bourbon Black Apron Exclusive,"A paradoxical coffee, thin and subdued, but with considerable suggestions of richness and complexity. In the aroma muted suggestions of night flowers, butter, black cherries. In the cup lean but silky mouthfeel and delicate hints of spicy nut, cocoa, more flowers and cherry, perhaps of a rather dullish aromatic wood. The flavor persists nicely into an otherwise short, fast-fading finish.","The coffee cooperatives of Rwanda, benefiting from superb growing conditions, traditional varieties of Arabica and support from aid agencies and coffee idealists, are beginning to produce coffees that rank among the world's finest and most distinctive. Bourbon is a prestigious heirloom variety of Coffea Arabica. This is the April 2008 offering in the Starbucks Black Apron Exclusives line of distinctive seasonally available coffees. Visit www.starbucks.com for more information.",,"Seattle, Washington",Rwanda.,Dark,,2008-04-01,7.0,7.0,8.0,8.0,7.0,https://www.coffeereview.com/review/rwanda-blue-bourbon-black-apron-exclusive/,,37.0,40.0,False,,,,,,214.823,2008-04-01,,,
93.0,Simon Hsieh’s Aroma Roast Coffees,Burundi Washed “Crystal”,"Evaluated as espresso. Quietly perfumed, richly dry and tart. Scorched cedar, baking chocolate, dried mulberry, wisteria, almond paste in aroma and small cup. Crisp, lightly satiny mouthfeel. The finish is sweetly roast-toned and redolent with aromatic cedar notes. Rich cocoa and delicate florals animate the roast-toned milk shot.","Comprised entirely of the Bourbon variety of Arabica. Burundi is a small, landlocked country in the Great Lakes region of Central Africa. Benefiting from ideal growing conditions and large plantings of local strains of the heirloom Bourbon variety of Arabica, Burundi coffees have developed an excellent and growing reputation. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","A pleasingly tart, invigorating espresso with attractive floral and dry chocolate notes, perhaps best enjoyed as a straight shot or short Americano.","Taoyuan City, Taiwan","Buyenzi, Katanga, Burundi",Medium-Dark,NT $900/8 ounces,2019-11-01,9.0,,9.0,9.0,8.0,https://www.coffeereview.com/review/burundi-washed-crystal/,8,43.0,50.0,True,8.0,ounces,900.0,TWD,29.56,257.208,2019-11-01,36.11,0.5,72.22
96.0,JBC Coffee Roasters,Nano Genji #4 Espresso,"Evaluated as espresso. Expressive, confident, lyrical. Lychee, dark chocolate, star jasmine, sandalwood, Meyer lemon in aroma and small cup. Lively, creamy mouthfeel; balanced, floral- and fruit-toned finish. In three parts milk, a liquid dessert: think fine chocolate and tropical fruit.","Produced by the Nano Genji cooperative in Ethiopia’s Jimma Zone. Ethiopia coffees like this one are produced largely from local, indigenous varieties of Arabica. Processed by the wet or washed method (fruit skin and pulp are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A washed-process single-origin Ethiopia espresso that sings both in the straight shot and in milk. Flat out poetic in its intricate harmony, and only $18.75 for 12 ounces.","Madison, Wisconsin","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,$18.75/12 ounces,2020-06-01,9.0,,9.0,9.0,9.0,https://www.coffeereview.com/review/ethiopia-nano-genjo-4-espresso/,10,56.0,74.0,True,12.0,ounces,18.75,USD,18.75,257.797,2020-06-01,22.85,0.75,30.47
87.0,Old Tavern Estate,Estate Premium Peaberry,"Variants on citrus shimmer through this buoyant, sweetly acidy cup: lemon and cocoa in the aroma, lemon and pink grapefruit in the cup. The finish is sweetly tart.",Old Tavern Estate is one of a handful of Jamaican farms permitted to process and export its coffee as a distinct estate origin. Roasted on the farm. Visit www.oldtaverncoffee.com for more info.,,"Green Hills, Portland, Jamaica","Blue Mountain growing region, Jamaica",Medium-Light,,2003-11-01,8.0,8.0,7.0,8.0,,https://www.coffeereview.com/review/estate-premium-peaberry/,,55.0,72.0,False,,,,,,184.5,2003-11-01,,,
