rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,sitemap_lastmod,acidity/structure,with milk,processing method,variety,harvested,lot size,lot # or id,seller,estimated price
91,Big Shoulders Coffee,Kenya AB Chania Estate Washed,"Suavely and sweetly tart. Green grape, crisp roasted cacao nib, fresh-cut fir, sweetly spicy flowers in aroma and cup. Brisk, bright acidity; light but satiny mouthfeel. Cacao nib and a hint of flowers carry into a rich though drying finish.","This coffee was produced entirely from trees of the heirloom “French Missionary” Bourbon variety of Arabica grown by the Harries family on the Chania Estate. Washed means that the skin and fruit pulp were removed or “washed” from the beans before they were dried using conventional methods involving water. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes its fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.",,"Chicago, Illinois","Thika growing region, central Kenya.",Medium,60/76,$17.50/12 ounces,January 2015,8,8,8,9,8,https://www.coffeereview.com/review/kenya-ab-chania-estate-washed/,2024-09-04,,,,,,,,,
92,Warm Air Kafe,Espresso Blend,"Evaluated as espresso. Crisply sweet-tart, fruit-toned. Dried raspberry, baking chocolate, Brazil nut, fir, molasses in aroma and small cup. Velvety-smooth mouthfeel; crisp, chocolaty finish. In three parts milk, chocolate and dried fruit notes come forward; nut and aromatic wood suggestions recede.","A blend of two Ethiopia, one El Salvador, and one Costa Rica coffee, roasted for espresso applications. Warm Air Kafe is a Taiwan-based specialty roaster and cafe in Taoyuan City. Visit https://m.facebook.com/warmair2021/ for more information.","A berry-toned, crisply chocolaty espresso blend, particularly appealing in cappuccino-scaled milk.","Taoyuan City, Taiwan",Ethiopia; El Salvador; Costa Rica,Medium-Dark,52/68,NT $400/230 grams,August 2021,8,,8,9,8,https://www.coffeereview.com/review/espresso-blend-22/,2021-08-22,,9,,,,,,,
88,Doi Chaang Coffee,Doi Chaang Wild Civet Spat Coffee,"Dominated by a woody note, but an engaging, quietly spicy woody note reminiscent perhaps of sassafras tea, complicated by hints of dark chocolate and a banana-like low-acid fruit. Soft, round acidity, lightly syrupy mouthfeel. Rich in the short finish, fades a bit in the long.","Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Alberta, Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. In addition to its excellent conventional arabica coffees, the cooperative members harvest small quantities of two versions of the famous (or infamous) kopi luwak, the world’s most expensive coffee, the beans of which are “processed” by a species of wild civet that eats ripe coffee fruit. The version reviewed here is comprised of beans that the wild civets spit out after having eaten the fruit. Another version consists of beans that the civets have swallowed along with the fruit, and which are harvested from their feces. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Columbia, Canada",Northern Thailand.,Medium-Dark,45/62,CAD $55.00/50 g.,November 2010,8,7,8,8,7,https://www.coffeereview.com/review/doi-chaang-wild-civet-spat-coffee/,2018-04-01,,,,,,,,,
93,Social Coffee & Tea Company,Ethiopia Sidamo Natural Single Origin Espresso,"Evaluated as espresso. Big floral aroma with notes of minty dark chocolate and orange peel. In the small cup, silky and smooth with continued floral character and layers of brandyish concentrated fruit - citrus, cranberry, blueberry modulating to chocolate. The fruit reverts to orange peel in the finish. In two parts milk the fruit turns to chocolate but sustains a complicating brandy and orange-peel edge.","Unlike the majority of Ethiopia coffees imported to North America, which are processed by the more orthodox wet or washed method, this is a dry-processed or ""natural"" coffee, meaning the beans are dried inside the fruit rather than after the fruit is removed, as is the case with wet-processed coffees. When all goes well and the fruit dries cleanly, without developing fermented or musty notes, this ancient procedure can contribute lush, berry-toned sweetness to the beans, as it does here. Based in the greater Toronto area, Social Coffee & Tea Company is dedicated to providing high quality, fresh-roasted, ""Glorious Coffees for the People."" Visit www.socialcoffeecompany.com or call 866-515-5033 for more information.",,"Richmond Hill, Ontario, Canada","Sidamo Province, southern Ethiopia",Medium-Dark,49/63,CAD $16 / 12 oz.,April 2010,9,,8,9,8,https://www.coffeereview.com/review/ethiopia-sidamo-natural-single-origin-espresso/,2014-10-02,,9,,,,,,,
93,Big Shoulders Coffee,Costa Rica Lobos 1 Rio Jorca,"Complex; floral and chocolaty. The floral notes are particularly intricate, both sweet yet incense-like; the chocolate is sweet with crisp hazelnut-like complication. Round, quiet acidity; full, syrupy mouthfeel. Flavor consolidates but retains character in a cleanly rich finish.","Tarrazu is one of the most respected of traditional Costa Rica growing regions. Los Lobos placed in third at the 2012 Costa Rica Cup of Excellence competition, and maintains three quarters of the farm as a private nature preserve. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes its fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.",,"Chicago, Illinois","San Ignacio Acosta, Tarrazu growing region, central Costa Rica.",Medium,56/76,$17.50/12 ounces,August 2014,8,8,9,9,9,https://www.coffeereview.com/review/costa-rica-lobos-1-rio-jorca/,2024-09-04,,,,,,,,,
93,Small Eyes Cafe,Phu-Long-Kong,"High-toned, spice-driven, deeply sweet. Almond nougat, freesia-like flowers, dried apricot, cedar, thyme in aroma and cup. Balanced, sweet-savory structure with gentle acidity; plush, satiny-smooth mouthfeel. The finish leads with notes of almond nougat and undertones of rich aromatic wood.","Produced by smallholding farmers near the Businde Washing Station entirely of the Red Bourbon variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",A crisply sweet Burundi cup with spicy floral tones and an invitingly savory thyme-like note.,"Yilan, Taiwan","Kayanza, Northern Province, Burundi",Medium-Light,64/80,NT $250/200 grams,August 2021,9,,9,9,8,https://www.coffeereview.com/review/phu-long-kong/,2021-08-22,8,,,,,,,,
93,Drink Coffee Do Stuff,Banti Nenga Hambela Wamena,"Very fruit-centric, spicily floral. Watermelon candy, star jasmine, agave syrup, pistachio butter, pink peppercorn in aroma and cup. Brightly sweet-tart with energetic acidity; very full, viscous mouthfeel. Resonant, fruit-focused finish with pistachio undertones.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in their respective regions. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Drink Coffee Do Stuff operates a roastery in Truckee, California and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.","A confident, unapologetic fruit bomb of a coffee with spicy floral complication.","Truckee, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium,59/77,$22.00/12 ounces,August 2021,9,,9,9,8,https://www.coffeereview.com/review/banti-nenga-hambela-wamena/,2021-08-22,8,,,,,,,,
91,Paradise Roasters,S.O. Espresso India CxR,"Evaluated as espresso. Honey-sweet aroma with notes of aromatic wood, dark chocolate, raisin. In the small cup full mouthfeel and a deeper rendition of dark chocolate and raisin; hints of floral and citrus brightness. Long, resonant, flavor-saturated finish. Unusually complex in two parts milk, with notes ranging from milk chocolate to dry walnut.","S. O. (for Single-Origin) is Paradise Roaster's designation for its line of espressos based on green coffees from distinguished single growing regions. In this case the single-origin green coffee comes from trees of an interspecies hybrid that crosses the species that American specialty roasters love to patronize, robusta, with another species of coffee entirely, Coffea congensis. Hence the acronym: Congensis into Robusta, or CxR. Developed and grown in India, this hybrid has proven to produce exceptional coffees of the low-acid, big-bodied style that European buyers admire and American buyers have yet to explore. It is a special sun-dried example of this hybrid species, impeccably processed on India's Sethuraman Estate. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",,"Ramsey, Minnesota","Karnataka State, southern India.",Dark,36/64,$11.00/12 oz.,April 2010,8,,8,9,8,https://www.coffeereview.com/review/s-o-espresso-india-cxr-2/,2014-10-02,,8,,,,,,,
93,Big Shoulders Coffee,Kenya Kalilani,"Pungent, deep, complex. Honey, raspberry, roasted cacao nib, fresh-cut pine in aroma and cup. Delicate, sweetly balanced acidity; silky mouthfeel. Flavor consolidates but lasts in a very sweet-toned, slightly drying finish.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world's most elegant and distinctive coffees. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes its fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.",,"Chicago, Illinois",South-central Kenya,Medium,60/73,$17.50/12 ounces,January 2014,9,9,8,9,8,https://www.coffeereview.com/review/kenya-kalilani/,2024-09-04,,,,,,,,,
87,Doi Chaang Coffee,Single-Origin Dark Roast,"A tactful ultra-dark roast dominates a cleanly sweet green coffee: Gently charred aromatic wood with a backgrounded dark-chocolate sweetness and a hint of flowers at the top. Medium body, smooth mouthfeel; slightly astringent finish.","Certified organically grown and Fair-Trade certified, meaning this coffee was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Colombia",Northern Thailand.,Very Dark,21/21,CAD $15.99/16 oz.,October 2010,8,,8,7,7,https://www.coffeereview.com/review/single-origin-dark-roast-2/,2018-04-01,,,,,,,,,
87,Doi Chaang Coffee,Single-Origin Signature Roast,"Deep and richly roasty in the aroma: gently charred wood, raisiny dark chocolate, a hint of cardamom-like spice. In the cup medium-bodied but smoothly silky in mouthfeel. The charred, roasty character tends to overshadow the chocolate-toned aromatics in cup and finish.","Certified organically grown and Fair-Trade certified, meaning this coffee was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-origin coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Colombia",Northern Thailand.,Very Dark,26/29,CAD $15.99/16 oz.,October 2010,8,,8,7,7,https://www.coffeereview.com/review/single-origin-signature-roast/,2018-04-01,,,,,,,,,
92,Te Aro Roasted,El Salvador Finca Alaska,"Roundly sweet, deep, fruit-toned chocolate aroma. Medium body, silky mouthfeel and intense, penetrating flavor. The fruit-tinged chocolate carries into the cup, complicated by nut, aromatic wood and dried berry. The finish is long and mildly dry with the chocolate in particular lingering.","From the Alaska farm, a prize winner in the 2007 El Salvador Cup of Excellence competition, this lot is made up entirely of the heirloom Bourbon variety of Arabica. With roots in New Zealand, Te Aro Roasted is a Toronto-based coffee company that emphasizes its ""fresh air roasting,"" a technology that utilizes a column of hot air rather than the conventional turning drum to agitate the roasting beans. Visit www.te-aro.ca or call 416-465-2006 for more information.",,"Toronto, Ontario, Canada","Santa Ana Department, El Salvador.",Medium,57/65,CAD $17.00 / 16 oz.,April 2010,8,8,8,9,9,https://www.coffeereview.com/review/el-salvador-finca-alaska/,2014-10-02,,,,,,,,,
93,Barrington Coffee Roasting Co.,Sumatra Lintong Iskandar,"Roundly rich aroma dominated by intense, heady tones of fruit and aromatic wood. Silky mouthfeel, medium body and a bright-toned, though in no way sharp, acidity. In the cup a juicy impression and notes of cedar, grapefruit and sweet pipe tobacco, all persisting deeply into the long finish.","Based on the cup, this coffee appears to be a wet-hulled Sumatra. From the classic Lintongnihuta growing district in the Lake Toba region. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",,"Lee, Massachusetts","Lintong growing district, North Sumatra Province, Indonesia.",Medium,58/73,$13.95 / 16 oz.,April 2010,9,8,8,9,9,https://www.coffeereview.com/review/sumatra-lintong-iskandar/,2014-10-02,,,,,,,,,
92,Cupping Room,Attaboy Blend,"Richly chocolaty, delicately fruit-toned. Dark chocolate, yellow plum, almond, cedar, agave syrup in aroma and cup. Briskly sweet acidity; very full, satiny mouthfeel. Chocolaty finish supported by notes of yellow plum and cedar.",A blend of coffees that’s 50% washed Colombia; 40% washed Ethiopia and 10% natural-processed Ethiopia. Cupping Room was founded in 2011 in Hong Kong and now has seven coffee shops across the city. Visit www.cuppingroom.hk for more information.,A Colombia/Ethiopia blend with a chocolate throughline and stone fruit and aromatic wood undertones.,"Hong Kong, China",Colombia; Ethiopia,Medium,58/77,$16.50/200 grams,September 2024,8,,9,9,8,https://www.coffeereview.com/review/attaboy-blend/,2024-09-05,8,,,,,,,,
90,Poppets Coffee,Bayou Buzz Breakfast Blend,"Friendly, balanced, bittersweet. Cocoa powder, hop flowers, raisin, lily, fresh-cut fir in aroma and cup. Savory-sweet structure with bittersweet acidity; full, syrupy mouthfeel. The gently drying finish centers around notes of cocoa powder and fir.","A blend of undisclosed coffees, including beans from both the Arabica and Robusta species. Poppets Coffee is a woman-owned business in Dayton, Ohio that offers single-origin coffees, blends, and flavored coffees. Visit www.poppetscoffee.com for more information.","A straight-ahead breakfast blend with inviting cocoa notes, dried fruit and sweet florals.","Dayton, Ohio",Not disclosed,Medium,54/70,$14.00/12 ounces,August 2021,8,,9,8,7,https://www.coffeereview.com/review/bayou-buzz-breakfast-blend/,2021-08-22,8,,,,,,,,
90,Doi Chaang Coffee,Single-Estate Decaf Medium,"Poised and balanced aroma with hints of sweet wood, cocoa, raisiny fruit. Gently rich acidity, lightly syrupy mouthfeel. In the cup quiet sweet; the cocoaish chocolate intensifies, supported by a hint of the rich, carnal aroma of night flowers. Clean finish; the cocoa note intensifies in the long.","Decaffeinated without the use of solvents by the Swiss Water method. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Alberta, Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Calgary, Alberta, Canada",Northern Thailand.,Dark,25/61,,December 2009,8,8,8,8,8,https://www.coffeereview.com/review/single-estate-decaf-medium/,2018-04-01,,,,,,,,,
90,Roses Coffee Corner,Roses Espresso,"The soft, sweet-toned aroma combines touches of toast and caramel with flowers and fruit. Complete in the small cup: full body, silky mouthfeel and flavors that balance an orange peel-like citrus quality with a pungent and penetrating dark chocolate. A mild astringency distracts slightly in the flavor-saturated finish. In two parts milk the orange note nicely balances the inevitable milk-rounded chocolate.","Located in the center of Taipei City, Taiwan, Roses Coffee Corner is focused on high quality fresh-roasted coffee. Specializing in espresso blends and single-estate coffees, owner Paul Chen endeavors to provide his customers with the best coffee experience possible. Visit tw.myblog.yahoo.com/roses-coffee or call 886-2-27211471 for more information.",,"Taipei City, Taiwan",Burundi; Guatemala; Kenya; Sumatra,Medium,56/67,NT$200 / 8 oz.,April 2010,8,8,8,8,8,https://www.coffeereview.com/review/roses-espresso/,2014-10-02,,,,,,,,,
92,RamsHead Coffee Roasters,Nicaragua Jinotega Hacienda La Bastilla Blue Candy Natural,"Fruit-forward, deeply sweet. Blueberry, dark chocolate, magnolia, cedar, almond in aroma and cup. Sweet structure with gentle acidity; crisp, velvety mouthfeel. Chocolaty finish with blueberry and almond undertones.","Produced at Hacienda La Bastilla from trees of the Caturra, Red and Yellow Catuaí, Parainema, Java, SL28, and Geisha varieties of Arabica and processed by the natural method (dried in the whole fruit). RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.","A richly fruit-toned, crisply chocolaty natural-processed Nicaragua cup.","Bozeman, Montana","Jinotega, Nicaragua",Medium,58/76,$17.95/12 ounces,August 2021,9,,8,9,8,https://www.coffeereview.com/review/nicaragua-jinotega-hacienda-la-bastilla-blue-candy-natural/,2021-08-25,8,,,,,,,,
91,Doi Chaang Coffee,Piko’s Peaberry Medium Roast,"The aroma is delicate, balanced, with nut, molasses, moist pipe tobacco, a hint of tart fruit. Soft acidity, silky mouthfeel, quietly distinctive flavor: continued nut and molasses notes, a hint of fir. The fruit notes are pungent and deep: black current, black cherry. A dry fruit-toned finish stays on the rich side of astringent.","Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Alberta, Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. This coffee consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Calgary, Alberta, Canada",Northern Thailand.,Medium,44/94,,October 2009,8,8,8,8,8,https://www.coffeereview.com/review/pikos-peaberry-medium-roast/,2018-04-01,,,,,,,,,
93,Utopian Coffee,Kenya Ibonia Estate AA,"Sweetly spice-toned. Quince, clove, orange zest, rhododendron, cedar in aroma and cup. Juicy-bright acidity; crisp, lightly satiny mouthfeel. Quince and clove notes carry the rich-toned finish.","Produced at Ibonia Estate, from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information.","A Kenya characterized by warm spice notes, vanilla-like florals, citrus zest and rich aromatic wood.","Fort Wayne, Indiana","Kiambu County, Kenya",Medium-Light,63/82,$21.00/12 ounces,September 2024,9,,8,9,8,https://www.coffeereview.com/review/kenya-ibonia-estate-aa/,2024-09-05,9,,,,,,,,
